zone,geo_code,region,country,latitude,longitude
Zone 1,DK,Scandinavia Europe,Denmark,55.670249,10.3333283
Zone 1,EE,Northern Europe,Estonia,58.7523778,25.3319078
Zone 1,FI,Scandinavia Europe,Finland,63.2467777,25.9209164
Zone 1,IS,Scandinavia Europe,Iceland,64.9841821,-18.1059013
Zone 1,LU,Western Europe,Luxembourg,49.6112768,6.129799
Zone 1,PL,Eastern Europe,Poland,52.215933,19.134422
Zone 1,SK,Eastern Europe,Slovakia,48.7411522,19.4528646
Zone 1,NO,Scandinavia Europe,Norway,64.5731537,11.52803643954819
Zone 1,SE,Scandinavia Europe,Sweden,44.133435,-70.822678
Zone 2,AT,Western Europe,Austria,47.59397,14.12456
Zone 2,CZ,Eastern Europe,Czech Republic,49.7439047,15.3381061
Zone 2,DE,Western Europe,Germany,40.4203479,-79.1166983
Zone 2,HU,Eastern Europe,Hungary,41.9767629,-72.7789842
Zone 2,LI,Western Europe,Liechtenstein,47.1416307,9.5531527
Zone 2,CH,Western Europe,Switzerland,46.7985624,8.2319736
Zone 3,BE,Western Europe,Belgium,50.6402809,4.6667145
Zone 3,IE,Northern Europe,Ireland,52.865196,-7.9794599
Zone 3,NL,Western Europe,Netherlands,52.2434979,5.6343227
Zone 3,GB,Northern Europe,United Kingdom,54.7023545,-3.2765753
Zone 4,AD,Southern Europe,Andorra,42.5407167,1.5732033
Zone 4,FR,Western Europe,France,46.603354,1.8883335
Zone 4,IT,Southern Europe,Italy,42.6384261,12.674297
Zone 4,MT,Southern Europe,Malta,35.8885993,14.4476911
Zone 4,MC,Western Europe,Monaco,43.7323492,7.4276832
Zone 4,PT,Southern Europe,Portugal,39.6621648,-8.1353519
Zone 4,SM,Southern Europe,San Marino,43.9458623,12.458306
Zone 4,ES,Southern Europe,Spain,39.3260685,-4.8379791
Zone 5,BY,Eastern Europe,Belarus,53.4250605,27.6971358
Zone 5,LV,Northern Europe,Latvia,56.8406494,24.7537645
Zone 5,LT,Northern Europe,Lithuania,55.3500003,23.7499997
Zone 5,RU,Eastern Europe,Russia,40.2338211,-84.4096729
Zone 5,UA,Eastern Europe,Ukraine,49.4871968,31.2718321
Zone 6,AL,Southern Europe,Albania,1.2315264,-75.89204331320687
Zone 6,BA,Southern Europe,Bosnia and Herzegovina,44.3053476,17.5961467
Zone 6,BG,Eastern Europe,Bulgaria,46.7889169,23.6184909
Zone 6,HR,Southern Europe,Croatia,45.3658443,15.6575209
Zone 6,GR,Southern Europe,Greece,43.2097838,-77.6930602
Zone 6,MD,Eastern Europe,Moldova,47.2879608,28.5670941
Zone 6,ME,Southern Europe,Montenegro,-12.6998188,-38.3260762
Zone 6,MK,Southern Europe,North Macedonia,41.6171214,21.7168387
Zone 6,RO,Eastern Europe,Romania,45.9852129,24.6859225
Zone 6,RS,Southern Europe,Serbia,44.024322850000004,21.07657433209902
Zone 6,SI,Southern Europe,Slovenia,46.1199444,14.8153333
Zone 7,AM,EU-Eastern Europe relations,Armenia,4.491976149999999,-75.74135085294314
Zone 7,AZ,EU-Eastern Europe relations,Azerbaijan,40.3936294,47.7872508
Zone 7,CY,Southern Europe,Cyprus,34.9174159,32.889902651331866
Zone 7,GE,EU-Eastern Europe relations,Georgia,32.3293809,-83.1137366
Zone 7,TR,European Candidate,Turkiye,38.9597594,34.9249653
